source,target,type,weight
i4,chimp,edge,120.0
H2,denisovan,edge,0.16741257906671442
i5,H2,admix,0.48
i6,H2,admix,0.52
Ne0,neanderthal_west,edge,0.007743593305090632
i1,neanderthal_east,edge,0.03889158969372873
Ne0,i1,edge,0.04142648795055212
i2,Ne0,edge,0.7325352977286679
NeAMH,i2,edge,0.2645181092694905
i7,H4,admix,0.32
na0,non_africa_west,edge,0.027641002685765442
na0,non_africa_east,edge,0.06692406692406692
H4,na0,edge,0.03219589615689831
i8,H4,admix,0.6799999999999999
a0,africa_east,edge,0.036791001105355554
AMH,a0,edge,0.08628946434905994
AMH,africa_west,edge,0.07087851642307087
NeAMH,AMH,edge,0.03134513600654738
i3,NeAMH,edge,0.05199568250136372
i4,i3,edge,2.9760123115152197
i3,i5,edge,0.6535386084258265
i2,i6,edge,0.5905484885788538
i1,i7,edge,0.054245283018867926
a0,i8,edge,0.17598675321011237
