source,target,type,weight
i4,chimp,edge,120.0
H2,denisovan,edge,0.16741257906671442
i5,H2,admix,0.48
i6,H2,admix,0.52
Ne0,neanderthal_west,edge,0.007743593305090632
Ne0,neanderthal_east,edge,0.08031807764428085
i1,Ne0,edge,0.7325352977286679
NeAMH,i1,edge,0.2645181092694905
na0,non_africa_west,edge,0.027641002685765442
na0,non_africa_east,edge,0.06692406692406692
a0,na0,edge,0.20818264936701067
a0,africa_east,edge,0.036791001105355554
H4,a0,edge,0.04314473217452997
AMH,africa_west,edge,0.07087851642307087
i2,AMH,edge,0.01769501616609482
NeAMH,i2,edge,0.01365011984045256
i3,NeAMH,edge,0.05199568250136372
i4,i3,edge,2.9760123115152197
i7,H4,admix,0.68
i8,H4,admix,0.32
i3,i5,edge,0.6535386084258265
i1,i6,edge,0.5905484885788538
AMH,i7,edge,0.052659113869245204
i2,i8,edge,1.833628144654088
